item_id,title,brand_id,shop_type,sku_id,sku_sales,sku_name,leafcat,attrs,剂型_attr,相关属性,qa,处理,完成情况
3709412902101450944,充能糖诺特兰德电解质冲剂诺特兰德充能糖电解质冲剂 2kg,22044,douyin,,3753.64,,39108,品牌:诺特兰德,颗粒/冲剂,{},1,,
3593461990942765075,【官方爆款】fiboo蛋白棒饱腹代餐解馋抗饿酸奶涂层好吃单双层25g/M,45895287,douyin,,593219.9,,31286,保质期:9月||产品名称:蛋白棒||适用性别:通用||产地:中国大陆||品牌:FIBOO/她练||生产企业名称:广东中澜健康科技有限公司||用法:代餐||适用人群:成人||计价单位:条||食用提示:低温环境下产品会偏硬||商品条形码:6975568620233||食品生产许可证编号:SC10644011401387||规格（粒/袋/ml/g）:25g*5支,,{},1,,
3604399743754737897,Springleaf 绿芙纯角鲨烯软鲨鱼油1000mg 90粒  db-2,50855804,douyin,,10409.1,,31401,套餐详情:SpringLeaf澳洲纯角鲨烯软胶囊1000mg 鲨鱼油90粒/瓶 -默认x1,,{},1,,
3679385091295019392,仁和维生素b族含8种维Bb1b2b6b12生物素谷胱甘肽水飞蓟官方旗舰店,139410830,douyin,,14217421,,31281,保质期:24月||是否临期:否||产品名称:8种维生素B1片||产地:中国大陆||品牌:仁和||生产企业名称:东营佐宁生物科技有限公司||计价单位:瓶||产品剂型:片剂||食品生产许可证编号:SC11337052100315||规格（粒/袋/ml/g）:0.6g*60片,片剂,{'产品剂型': '片剂'},1,,
3729277804274123175,[同仁堂]梅花鹿心肌肽 A11A[试吃两盒]  其他方便食品,155811115,douyin,,569715.9,,31303,保质期:24月||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:梅花鹿心肌肽||品牌:鲜享燕窝||生产企业名称:安徽康能量药业有限公司||食品生产许可证编号:SC10634122231557||规格（粒/袋/ml/g）:3g/袋*10袋,,{},1,,
3697570444577210499,WildFieldHealth健身增肌粉 益生菌复合乳清蛋白粉公牛系列,16175,douyin,,14872,,31315,保质期:18月||是否临期:否||产地:中国大陆||产品名称:益生菌复合乳清蛋白粉||品牌:WildFieldHealth||生产企业名称:浙江衡美健康科技股份有限公司||食品生产许可证编号:SC12433011007301||规格（粒/袋/ml/g）:30包×30g,粉剂,{},1,,
3562072634080546282,Bmark鹿胎素卵巢保养胶囊女性补热呵护调理60粒/盒,66608544,douyin,,82168.7,,31387,保质期:25-36个月||食用方法/使用方法:饭后1粒，1次1粒，每天不超过2粒||温馨提示:本品不可替代药品||品牌:Bmark||适用人群:成人||产品剂型:胶囊||注意事项:孕妇哺乳期类人群建议咨询医生后服用,胶囊,{'产品剂型': '胶囊'},1,,
3730632490763813280,【过年不打烊】三瓶装 Esmond Natural爱司盟金标茶叶茶氨酸60粒/瓶,110671114,douyin,,972432.8,,31296,保质期:48月||产品名称:茶叶茶氨酸||适用性别:通用||产地:美国||品牌:爱司盟||生产企业名称:爱司盟天然健康食品制造公司||用法:每日1片，温水送服||产品规格:1.3g*60粒||计价单位:瓶||食用提示:孕妇，哺乳期不建议服用||产品剂型:片剂||适用人群:成年人||商品条形码:0641399781288,片剂,{'产品剂型': '片剂'},1,,
3728507536333209777,【6+1年货礼盒】DanVitas丹维斯进口海豹油Omega3胶囊心心守护营养,136498915,douyin,,2252813,,31395,保质期:25-36个月||食用方法/使用方法:每天1-2粒，温水吞服，建议饭后服用||温馨提示:本品不可替代药品||品牌:Dan Vitas||适用人群:成人||产品剂型:胶囊||注意事项:海鲜过敏者请勿服用，孕妇请遵医嘱||原产地:挪威,胶囊,{'产品剂型': '胶囊'},1,,
3603625829260765573,三生蔻荷兰进口菊粉膳食纤维低聚果益生元300g/罐 益生菌固体饮料,49527495,douyin,,66667.5,,31305,保质期:2年||是否临期:否||产品名称:荷兰菊粉水溶性膳食纤维益生元||适用性别:通用||产地:中国大陆||品牌:saseco/三生蔻||生产企业名称:珠海中食月太健康科技有限公司||适用人群:不限||计价单位:罐||成分:菊粉||产品剂型:粉剂||食品生产许可证编号:SC10644041200145||规格（粒/袋/ml/g）:300g/罐,粉剂,{'产品剂型': '粉剂'},1,,
3699019809284030672,【品牌直发】Noromega番茄红素胶囊60粒/瓶备孕护肾锌叶酸前列腺炎,13063,douyin,,4528.3,,31377,套餐详情:【品牌直发】Noromega番茄红素胶囊60粒/瓶备孕护肾锌叶酸前列腺炎-默认x1,胶囊,{},1,,
3492119536906405983,赛霸 一水肌酸粉 300g 健身补剂官方旗舰店成人吸收原味力量速度,16395,douyin,,416830.12,,31314,保质期:24月||是否临期:否||产品名称:肌酸粉||适用性别:通用||产地:中国大陆||品牌:CPTKING/赛霸||生产企业名称:浙江吉美食品科技有限公司||适用人群:成人||计价单位:瓶||产品剂型:粉剂||商品条形码:6972448480604||食品生产许可证编号:SC10633052303932||规格（粒/袋/ml/g）:300g/瓶,粉剂,{'产品剂型': '粉剂'},1,,
3727430571018813753,【年货节】诺特兰德DHA藻油ARA高纯度橙子味儿童孩子营养升级自播,22044,douyin,,186516,,31272,保质期:24月||产品名称:DHA||适用性别:通用||产地:中国大陆||品牌:诺特兰德||生产企业名称:山东捷晶生物科技有限公司||用法:可将软糖尾部拧开或剪开 将夹心料滴入口中或加入其他食物中食用 也可直接咀嚼或吞食。每次2粒，每天1次。||适用人群:儿童||计价单位:盒||食用提示:本品贮存温度≥35°C时有可能致使个别糖体变形或部分溶解;胶皮颜色受热和储存环境影响变深，此为明胶特性 不影响产品质量。||产品剂型:胶囊||商品条形码:6973847791865||食品生产许可证编号:SC11337012600809||规格（粒/袋/ml/g）:30粒,胶囊,{'产品剂型': '胶囊'},1,,
3695317308919644520,青春款7-18周岁[3盒装]γ-氨基丁酸多维生素综合营养咀嚼片青少年,155802367,douyin,,133208130,,31280,保质期:2年||是否临期:否||产品名称:养能健/γ-氨基丁酸多维营养咀嚼片2号||适用性别:通用||产地:中国大陆||品牌:养能健||生产企业名称:安徽万花草保健品有限公司||产品剂型:片剂||食品生产许可证编号:SC11434160205012||规格（粒/袋/ml/g）:90片/瓶,片剂,{'产品剂型': '片剂'},1,,
3722016266727326012,【养巢锁龄】巢舒安大豆苷元60粒保养紧致焕活巢年轻莱特维健,2897399,douyin,,1550994.2,,31381,保质期:25-36个月||食用方法/使用方法:口服||温馨提示:本品不可替代药品||品牌:WRIGHT LIFE/莱特维健||生产企业名称:莱特维健药厂有限公司（香港）||净含量:60粒||适用人群:成人||产品剂型:胶囊||注意事项:本品不可替代药品||原产地:香港特别行政区,胶囊,{'产品剂型': '胶囊'},1,,
3631451597130863013,Losoki omega-3祛痘鱼油深海DHAEPA鱼油软胶囊高含量改善油敏痘肌,155789455,douyin,,41828.5,,31324,保质期:13-24个月||食用方法/使用方法:口服||温馨提示:本品不可替代药品||产品名称:Losoki鱼油||品牌:LOSOKI||适用人群:成人||产品剂型:胶囊||注意事项:本品含鱼类产品，对鱼类及其他成分过敏者请勿食用||原产地:美国,胶囊,{'产品剂型': '胶囊'},1,,
3565436233490505088,【旗舰新款】德国嘉利达万物生胶原蛋白肽透明质酸营养浓缩饮,37303164,douyin,,133875,,31277,保质期:18月||产品名称:复合胶原蛋白肽||适用性别:女||产地:中国大陆||品牌:万物生||生产企业名称:黑龙江万物生生物科技有限公司||用法:每日最大饮用量两瓶||适用人群:不限||计价单位:盒||食用提示:开盖即可饮用||产品剂型:口服液||商品条形码:6972097240116||食品生产许可证编号:SC10623118202169||规格（粒/袋/ml/g）:50ml*10支,口服液,{'产品剂型': '口服液'},1,,
3728683896263540948,深海鱼油凝胶糖果（无蔗糖型）BS,95659075,douyin,,1712.65,,39108,品牌:GUZITANG/谷滋堂,软糖,{},1,,
3603872437709721704,Swisse斯维诗月见草胶囊200粒缓解调理经期不适女士经期保健品,13541118,douyin,,2809.8,,31375,保质期:25-36个月||食用方法/使用方法:每次两粒，每日3次，或遵医嘱。||温馨提示:本品不可替代药品||产品名称:Swisse斯维诗月见草胶囊200粒||品牌:SWISSE/斯维诗||适用人群:成人||产品剂型:胶囊||注意事项:请于25摄氏度以下干燥，阴凉处储保存。密封盖若破损，请勿服用。||原产地:澳大利亚,胶囊,{'产品剂型': '胶囊'},1,,
3695342043544027536,【3】虾青素葡萄籽刺梨SOD橄榄 肤色 k糖k氧化 片剂口服k老,117227243,douyin,,23482.08,,31302,保质期:24月||产地:中国大陆||产品名称:雨生红球藻刺梨片||品牌:HighBeauty/海美利||生产企业名称:极美（天津）功能食品研究发展中心（有限合伙）||食品生产许可证编号:SC10612011613778||规格（粒/袋/ml/g）:0.8g*60片,片剂,{},1,,
3622028142262249835,【进口年货】Oppuland甲钴胺咀嚼片维生素b12叶酸营养修护神经140粒,46330,douyin,,3412881.2,,31326,套餐详情:欧普兰升级甲钴胺营养神经活性维生素b12叶酸加量樱桃味140粒/瓶-默认x3,咀嚼片片剂,{},1,,
3602726987061430023,Doctor's Best多特倍斯MK-7型100mcg维生素K2 60粒效期至25年11月,38217,douyin,,55112.42,,31341,保质期:25-36个月||食用方法/使用方法:每日1粒，随餐服用||温馨提示:本品不可替代药品||产品名称:多特倍斯天然维生素K2||品牌:DoctorsBest/多特倍斯||适用人群:通用||产品剂型:颗粒||注意事项:本品不可替代药品||原产地:美国,颗粒/冲剂,{'产品剂型': '颗粒'},1,,
3714544103615234120,【超值特惠】非变性II型胶原蛋白30粒/瓶×12瓶装,111580315,douyin,,728264.8,,31316,保质期:2年||产品名称:迈乐佳二型骨胶原||产地:中国大陆||品牌:MALEEJIA/迈乐佳||生产企业名称:安徽华都药业有限公司||食品生产许可证编号:SC12734120301510||规格（粒/袋/ml/g）:1g*30粒,,{},1,,
3712720441283051895,仁和黄精锰锌黄芪片锰锌枸杞草本精华成分九蒸九晒原料官方旗舰,139410830,douyin,,203744.75,,31274,食品生产许可证编号:SC11337052100315||产品名称:仁和黄精锰锌黄芪片||品牌:仁和||生产企业名称:东营佐宁生物科技有限公司||产地:中国大陆,,{},1,片？,
3726486777800818899,【赵艺涵专属】Vitawell超燃红魔法16倍代谢全面爆燃双针超模饮,138367973,douyin,,864728.06,,31416,套餐详情:【赵艺涵专属】Vitawell超燃红魔法16倍代谢全面爆燃双针超模饮-默认x3,,{},0,加入饮的规则,1
3702585375009669278,【进口年货】Oppuland成人脂质体维生素D3K2维生素d3阳光瓶强骨免疫,46330,douyin,,217082.45,,31338,套餐详情:Oppuland脂质体维生素D3K2软胶囊成人中老年骨骼引钙入骨180粒/瓶-默认x1,,{},1,胶囊？,
3726473480624013615,【年货节】鹰牌1盒/2盒/3盒/4盒可选择装花旗参茶固体冲调饮料,139378301,douyin,,3037171.5,,31292,保质期:24月||产地:中国大陆||产品名称:花旗参茶固体饮料||品牌:EAGLE’S/鹰牌||生产企业名称:健康药业（中国）有限公司||食品生产许可证编号:SC12744030500626,口服液茶,{},0,not 固体,1
3718706281410855222,【世货专属】诺特兰德多酚可可天然可可粉4重植物成分  7条装,22044,douyin,,151973.38,,31991,保质期:24月||产地:中国大陆||产品名称:诺特兰德多酚可可||品牌:诺特兰德||生产企业名称:山东捷晶生物科技有限公司||食品生产许可证编号:SC11337012600809,粉剂,{},1,,
3554679253629056834,【利利安专享】Esmond爱司盟青春之泉雪莲透明质酸钠复合60粒/瓶,110671114,douyin,,274076.97,,31319,保质期:48月||产品名称:青春之泉雪莲透明质酸钠复合片||适用性别:通用||产地:美国||品牌:爱司盟||生产企业名称:爱司盟天然食品制造公司||用法:每日早饭后半小时两粒，温水送服||适用人群:成人||计价单位:瓶||食用提示:孕妇哺乳期经期不建议服用||产品剂型:片剂||商品条形码:0641399783282||规格（粒/袋/ml/g）:1.12g*60,片剂,{'产品剂型': '片剂'},1,,
3730170732362203339,【春节送礼】Swisse美颜葡萄籽烟酰胺片180片/瓶原花青素*2-Z,51206,douyin,,24826.35,,31389,套餐详情:【达播勿拍】Swisse斯维诗美颜葡萄籽烟酰胺片180片/瓶原花青素-默认x2,,{},0,加入片 and 素 为片剂,1
3728546270470603198,信心康乐活性叶酸2.0孕前孕早期90粒/瓶,40936,douyin,,8856.38,,31331,套餐详情:信心康乐活性叶酸2.0孕前孕早期90粒/瓶-默认x1,,{},1,,
3723144996984062187,【星光村小飞T】OXYENERGY氧气能量五合一精氨酸瓜氨酸胶囊60粒/瓶,142332070,douyin,,1444491.5,,31330,套餐详情:【小飞达人 】氧气能量五合一精氨酸胶囊60粒/瓶瓜氨酸科学健康男士-默认x1,胶囊,{},1,,
3730038842363871269,OXYENERGY 超模小腰精 纤腰饮天然植萃16合1,142332070,douyin,,2905729.8,,31411,套餐详情:OXYENERGY超模小腰精16合一植萃马甲饮4维矩阵燃燃促代-默认x2,,{},0,加入饮的规则,1
3730572543665504410,【老白健康】维生素C咀嚼片 vc片维c 男女性维生素c维C片VC,155820052,douyin,,562.5,,38859,保质期:24月||品牌:老白健康,咀嚼片片剂,{},1,,
3633871817460025157,MEDOX花青素北极越橘年轻态小黑丸蓝莓护眼片挪威原装进口保税仓,131363232,douyin,,176651.64,,31364,保质期:37-48个月||食用方法/使用方法:温水吞服||温馨提示:本品不可替代药品||产品名称:挪威进口MEDOX越橘花青素||品牌:MEDOX||适用人群:通用||产品剂型:胶囊||注意事项:饭后半小时或睡前服用最佳||原产地:挪威,胶囊,{'产品剂型': '胶囊'},1,,
3642661534653618554,【h6反重力胶囊】西班牙概念180HGH 内源补充提拉紧致 60粒/瓶,155640547,douyin,,11810270,,28343,套餐详情:概念180/180 the concept 姜黄素胶囊e7 3.28g/盒-默认x6、【西班牙概念180*h6】HGH反重力胶囊抗皱纹紧致提拉 60粒/瓶抗老-默认x3,胶囊,{},1,,
3728127307240571231,【年货节】（8瓶）岁岁伴高纯度EPA鱼油EPA＞91%欧米伽3＞97%高纯度鱼油,141361155,douyin,,62472.8,,31308,保质期:2年||是否临期:否||产品名称:高纯度鱼油||适用性别:通用||产地:中国大陆||品牌:岁岁伴||生产企业名称:广东爱塔馨安生物科技有限公司||计价单位:盒||食品生产许可证编号:SC12744011303076||规格（粒/袋/ml/g）:0.75g/粒*60粒,,{},1,,
3622545299215632567,【翠花专属】诺特兰德左旋10万左旋肉碱100000运动营养饮料,22044,douyin,,75880.87,,31283,保质期:12月||产品名称:左旋肉碱100000||适用性别:通用||产地:中国大陆||品牌:诺特兰德||生产企业名称:山东捷晶生物科技有限公司||适用人群:成人||计价单位:盒||产品剂型:口服液||口味:橙子味||商品条形码:详见包装||食品生产许可证编号:SC11337012600809||规格（粒/袋/ml/g）:10ml*100袋,口服液,{'产品剂型': '口服液'},1,,
3622976730676989167,云杉小分子PPC结节散槲皮素胶囊美国 60粒/瓶 SPRUTRITION/云杉H,35665844,douyin,,3716711.2,,31367,套餐详情:小分子结节散PPC槲皮素金雀异黄素胶囊60粒/瓶 SPRUTRITION/云杉 -默认x2,胶囊,{},1,,
3723525840131195358,【新春大餐拍档】断货王VIERRA惟爱论S133超模轻断食西梅果冻5/14盒,5699662,douyin,,195047.16,,31268,保质期:18月||是否临期:否||产地:中国大陆||适用性别:通用||产品名称:惟爱论新纤盈西梅果冻||品牌:VIERRA||生产企业名称:纯元健康科技（广东）有限公司||计价单位:盒||产品剂型:果冻型||食品生产许可证编号:SC11344011501302||规格（粒/袋/ml/g）:20g*7条,果冻型,{'产品剂型': '果冻型'},1,,
3726311747162865684,Unichi玫瑰小鱼胶囊90粒/瓶 HBZS,45113,douyin,,478424.38,,31376,套餐详情:璐姐爱用Unichi玫瑰小鱼胶囊90粒/瓶内服外用美肌必备-默认x1,胶囊,{},1,,
3671789417992945680,【专享】fiboo元气铁高含量有机铁女性无蔗糖孕妇铁元素软糖补剂A,45895287,douyin,,10950438,,31288,保质期:18月||是否临期:否||产地:中国大陆||产品名称:FIBOO富铁软糖||品牌:FIBOO/她练||生产企业名称:仙乐健康科技（安徽）有限公司||食品生产许可证编号:SC11334059210015,软糖,{},1,,
3696041575672053828,【宠粉专属】五个女博士12mg专利左旋虾青素凝胶糖果,35188512,douyin,,9856226,,31312,保质期:24月||产品名称:虾青素凝胶糖果||产地:中国大陆||品牌:五个女博士||生产企业名称:纽斯葆广赛（广东）生物科技股份有限公司||食品生产许可证编号:SC11344018400184||规格（粒/袋/ml/g）:30粒/瓶,粉剂软糖,{},0,not 宠,1
